Glass, Coffee, Espresso, 100,""
Glass, Coffee, Doppiyo, 125,""
Glass, Coffee, Americano, 160,""
Glass, Coffee, Cappuccino, 200,""
Glass, Coffee, Cafe Latte, 190,""
Glass, Coffee, Hot Chocolate, 250,""
Glass, Cold Coffee, Iced Americano, 150,""
Glass, Cold Coffee, Iced Latte, 200,""
Glass, Cold Coffee, Iced Mocha, 250,""
Glass, Cold Coffee, Cold Chocolate, 250,""
Glass, My Tea, Milk Tea (Plain), 75,""
Glass, My Tea, Milk Tea (Masala), 75,""
Glass, My Tea, Black Tea, 50,""
Glass, My Tea, Green Tea, 60,""
Glass, My Tea, Lemon Tea, 60,""
Glass, Lassi, Plain Lassi, 125,""
Glass, Lassi, Banana Lassi, 175,""
Glass, Lassi, Sweet Lassi, 125,""
Glass, Iced Tea, Peach, 200,""
Glass, Iced Tea, Apple, 200,""
Glass, Iced Tea, Lemon, 200,""
Glass, Shake Me Up, Vanilla, 200,""
Glass, Shake Me Up, Chocolate, 225,""
Glass, Shake Me Up, Strawberry, 225,""
Glass, Shake Me Up, Oreo, 300,""
Glass, Shake Me Up, Kitkat, 300,""
Glass, Others, Hot Lemon Honey with Ginger, 200,""
Glass, Others, Hot Milk, 110,""
Glass, Others, Mint Lemonade, 200,""
Glass, Others, Fresh Lime Water, 110,""
Glass, Soft Drinks, Coke, 120,""
Glass, Soft Drinks, Fanta, 120,""
Glass, Soft Drinks, Sprite, 120,""
Glass, Soft Drinks, Fresh Lime Soda, 140,""
Glass, Soft Drinks, Mineral Water, 50,""
Glass, Soft Drinks, Red Bull, 180,""
Glass, Soft Drinks, Red bull streme, 250,""
Glass, Soft Drinks, Juice (Orange), 150,""
Glass, Soft Drinks, Juice (Pineapple), 150,""
Glass, Soft Drinks, Cranberry, 150,""
Glass, Soft Drinks, Detox juice, 290,""
Glass, Soft Drinks, Sunrise juice, 370,""
Glass, Soft Drinks, Summer Coller Juice, 190,""

Plate, Mocktails, Virgin Mojito, 250,""
Plate, Mocktails, Cranberry Mojito, 250,""
Plate, Mocktails, Pineapple Passion, 250,""
Plate, Mocktails, Cinderella, 225,""
Plate, Mocktails, Fruit Punch, 275,""
Plate, Mocktails, Virgin Colada, 225,""
Plate, Break Fast, Normal BreakFast, 300,"Choice Omelet / Jam / Butter / Tea"
Plate, Break Fast, American Breakfast Set, 600,"Tost Bread, Choice omelette, bacon, sausage, boiled veg, ButterJam"
Plate, Chowmein/Thukpa, Veg Chowmien, 170,""
Plate, Chowmein/Thukpa, Chicken Chowmien, 210,""
Plate, Chowmein/Thukpa, Buff Chowmien, 200,""
Plate, Chowmein/Thukpa, Mix Chowmien, 230,""
Plate, Fry Rice, Veg Fried Rice, 180,""
Plate, Fry Rice, Chicken Fried Ri, 220,""
Plate, Fry Rice, Buff Fried Rice, 210,""
Plate, Fry Rice, Mix Fried Rice, 240,""
Plate, Momo, Veg Steam, 170,""
Plate, Momo, Veg Kothey, 180,""
Plate, Momo, Veg Fry, 190,""
Plate, Momo, Veg Chilly, 215,""
Plate, Momo, Veg Jhol, 210,""
Plate, Momo, Chicken Steam, 190,""
Plate, Momo, Chicken Kothey, 210,""
Plate, Momo, Chicken Fry, 220,""
Plate, Momo, Chicken Chilly, 250,""
Plate, Momo, Chicken Jhol, 240,""
Plate, Momo, Buff Steam, 180,""
Plate, Momo, Buff Kothey, 190,""
Plate, Momo, Buff Fry, 200,""
Plate, Momo, Buff Chilly, 220,""
Plate, Momo, Buff Jhol, 210,""
Plate, Sunrise Special, Mutton Sekuwa (0.5 kg), 1450,""
Plate, Sunrise Special, Mutton Sekuwa (1 kg), 2800,""
Plate, Sunrise Special, Chicken Sekuwa (0.5 kg), 750,""
Plate, Sunrise Special, Chicken Sekuwa (1 kg), 1400,""
Plate, Sunrise Special, Pork Sekuwa (0.5 kg), 750,""
Plate, Sunrise Special, Pork Sekuwa (1 kg), 1400,""
Plate, Sunrise Special, Wings Poleko (0.5 kg), 600,""
Plate, Sunrise Special, Wings Poleko (1 kg), 1200,""
Plate, Sunrise Special, Aloo Paleko, 300,""
Plate, Sunrise Special, Mutton Bhutan set, 400,""
Plate, Sunrise Special, Mutton tauko boiled, 450,""
Plate, Sunrise Special, Mutton tauko sadeko, 460,""
Bowl, Soup, Cream of Cauliflower and Almond Soup, 335,"Smooth cauliflower soup enriched with almond flavor, onion, garlic, celery, butter, and milk"
Bowl, Soup, Cream of Mushroom Soup, 335,"Creamy mushroom soup with fresh mushrooms, onion, garlic, celery, milk, and butter"
Bowl, Soup, Pumpkin and Carrot Soup, 335,"Pureed pumpkin and carrot cooked with onion, garlic, celery, butter, salt, and pepper"
Bowl, Soup, Vegetable Clear Soup, 245,"Light and flavorful broth with fresh vegetables or chicken"
Bowl, Soup, Chicken Clear Soup, 245,"Light and flavorful broth with fresh vegetables or chicken"
Bowl, Soup, Hot and Sour Soup veg, 300,"Spicy and tangy soup made with mixed vegetables or chicken, flavored with vinegar and chili, garnished with spring onions and coriander"
Bowl, Soup, Hot and Sour Soup non veg, 300,"Spicy and tangy soup made with mixed vegetables or chicken, flavored with vinegar and chili, garnished with spring onions and coriander"
Plate, Khaja Sets, Buff Khaja Set, 420,"Beaten rice served with spicy buff chhoila, egg, seasoned potato, salad, Bhatmas and homemade achar"
Plate, Khaja Sets, Chicken Khaja Set, 400,"Beaten rice served with chicken chhoila, egg, seasoned potato, salad, Bhatmas and homemade achar"
Plate, Khaja Sets, Vegetarian Khaja Set, 300,"Beaten rice served with spiced Soyabean Chhoila, seasoned potato, salad, Bhatmas and homemade achar"

Bowl, Salad, Sunrise Garden House Salad, 400,"A colorful mix of beetroot, crispy vegetable patty, cucumber, tomato, capsicum, and fresh lettuce tossed in a balsamic vinegar dressing"
Bowl, Salad, Greek Salad, 380,"Classic Mediterranean salad with diced cucumber, tomato, bell pepper, onion, black olives, and feta cheese, tossed in olive oil and lemon dressing"
Bowl, Salad, Healthy Salad, 380,"A nutritious blend of fresh seasonal vegetables, sprouts, beans, lettuce tomato and sunflower seeds with light olive oil dressing"
Bowl, Salad, Grilled Vegetable Salad, 350,"Lightly grilled seasonal vegetables served on a bed of lettuce with balsamic reduction"
Bowl, Salad, Waldorf Salad, 360,"A refreshing mix of apples, celery, walnuts, and raisins with creamy dressing"
Bowl, Salad, Nicoise Salad, 435,"French-style salad with boiled egg, beans, potatoes, olives, lettuce, and tuna (may vary)"
Bowl, Salad, Caesar Salad, 450,"lettuce, croutons, and parmesan cheese in Caesar dressing Includes grilled chicken Boiled Egg, Tomato"
Bowl, Salad, Nepali Salad, 200, ""

Plate, Pasta, Tortellini Pasta, 450,"Homemade pasta stuffed with spinach and cottage cheese tossed with tomato sauce"
Plate, Pasta, Chicken Bolognese, 430,"Spaghetti pasta served with chicken minced, tomato sauce, basil and cheese"
Plate, Pasta, Spaghetti Carbonara, 500,"Spaghetti pasta served with bacon, egg, white cream and cheese"
Plate, Pasta, Penne Arrabita, 450,"Penne pasta, tomato sauce served with cheese"
Plate, Pasta, Penne Alfredo, 420,"Penne pasta, tomato sauce served with cheese"
Plate, Pasta, Aglio olio, 460,"Spaghetti pasta, onion, garlic, celery, olives, chili flakes, and cheese"
Plate, Pasta, Pesto pasta, 460,"Spaghetti/Penne pasta cooked with homemade pesto sauce"
Plate, Pasta, Alfredo Paste, 430,"Penne pasta, fresh cream, mushroom sauce and cheese"

Plate, Veg Snacks, Home Made Hand Cut Chips, 250, ""
Plate, Veg Snacks, Mustang Aloo, 270, ""
Plate, Veg Snacks, Honey Potato Chilly, 270, ""
Plate, Veg Snacks, Aloo Sadheko, 240, ""
Plate, Veg Snacks, Peanuts Sadheko, 90, ""
Plate, Veg Snacks, Bhatmas Sadheko, 180, ""
Plate, Veg Snacks, Veg Pakuada, 260, ""
Plate, Veg Snacks, Onion Pakuada, 220, ""
Plate, Veg Snacks, Panner Pakuada, 340, ""
Plate, Veg Snacks, Panner Chilly, 350, ""
Plate, Veg Snacks, Spicy Tofu Nuggets, 200, ""
Plate, Veg Snacks, Cheeseball Stick, 290, ""
Plate, Veg Snacks, Sweet Corn Boiled, 220, ""
Plate, Veg Snacks, Sweet Corn Fry, 230, ""
Plate, Veg Snacks, Sweet Corn Sadheko, 230, ""
Plate, Veg Snacks, Mushroom Chilly, 290, ""
Plate, Veg Snacks, Crispy Mushroom, 290, ""
Plate, Veg Snacks, Kaju Fry, 600, ""
Plate, Veg Snacks, Dry Paped, 100, ""
Plate, Veg Snacks, Fry Paped, 100, ""
Plate, Non Veg Snacks, Timmure Chicken, 450, ""
Plate, Non Veg Snacks, Satya Chicken, 430, ""
Plate, Non Veg Snacks, Chicken Chilly (b), 390, ""
Plate, Non Veg Snacks, Chicken Chilly (w), 350, ""
Plate, Non Veg Snacks, Chicken Sadheko, 370, ""
Plate, Non Veg Snacks, Chicken Fry, 430, ""
Plate, Non Veg Snacks, Pork Chilly, 450, ""
Plate, Non Veg Snacks, Pork Damako, 460, ""
Plate, Non Veg Snacks, Buffalo Chicken Wings, 430, ""
Plate, Non Veg Snacks, Buff Choila, 410, ""
Plate, Non Veg Snacks, Duck Choila, 600, ""
Plate, Non Veg Snacks, Crispy Chicken, 440, ""
Plate, Non Veg Snacks, Chicken 65, 460, ""
Plate, Non Veg Snacks, Buff Sukuti, 440, ""
Plate, Non Veg Snacks, Singapore Chicken, 450, ""
Plate, Non Veg Snacks, Dragon Chicken, 500, ""
Plate, Non Veg Snacks, Fish Finger, 490, ""
Plate, Non Veg Snacks, Sunrise chicken chilly boa, 550, ""
Plate, Non Veg Snacks, Prawn Chilly, 800, ""
Plate, Non Veg Snacks, Prawn Tempura, 790, ""
Plate, Nepali Cuisine, Nepali Thali Set (Veg), 400,"Nepali meal including rice, lentils, seasonal vegetables, achar (pickle), papad, and either veg curry or chicken curry"
Plate, Nepali Cuisine, Nepali Thali Set (Chicken), 450,"Nepali meal including rice, lentils, seasonal vegetables, achar (pickle), papad, and either veg curry or chicken curry"
Plate, Nepali Cuisine, Nepali Thali Set (Motton), 500,"Nepali meal including rice, lentils, seasonal vegetables, achar (pickle), papad, and either veg curry or chicken curry"
Plate, Nepali Cuisine, Butter Masala (Chicken), 500,"(Chicken / Paneer) - Rich and creamy tomato-based curry flavored with Indian spices and butter, served with Plain rice"
Plate, Nepali Cuisine, Butter Masala (Paneer), 500,"(Chicken / Paneer) - Rich and creamy tomato-based curry flavored with Indian spices and butter, served with Plain rice"
Plate, Nepali Cuisine, Palak Paneer, 430,"Fresh paneer cubes cooked in a smooth spinach puree with garlic, ginger, and mild spices Served with Plain Rice, Salad, Papad"

Plate, Western Mains, Rosemary Grilled Chicken Breast, 670,"Marinated chicken breast grilled with rosemary and herbs, served with sautéed vegetables and creamy mashed potatoes"
Plate, Western Mains, Stuffed Chicken Roulade, 660,"Chicken breast rolled and stuffed with spinach and cheese, served with rich mushroom sauce and mashed potatoes"
Plate, Western Mains, Pork Chop, 745,"Tender pork grilled with mushroom sauce, served with grilled veggies and roasted potatoes"
Plate, Western Mains, Grilled Tofu, 460,"Hurb Marinated ad breaded with soya rice and saute vegetable"
Plate, Western Mains, Fish and Chips, 645,"Deep-fried battered fish fillet served with homemade hand-cut potato chips and tartar sauce"
Plate, Western Mains, Grilled Cottage Cheese, 550,"Marinated cottage cheese lentil sauce side salad herbs rice"

Plate, Burger/Sandwich/Wrap, Sunrise Garden Burger, 350,"House-special burger with grilled /Beetroot patty, cheese, lettuce, tomato, caramelized onions, and homemade burger sauce, served with fries"
Plate, Burger/Sandwich/Wrap, Vegetable Sandwich, 360,"Classic sandwich with lettuce, tomato, cucumber, cheese Vegetable Patty, and mayo on toasted white bread Served with fries"
Plate, Burger/Sandwich/Wrap, Club Sandwich, 550,"Triple-layer sandwich with chicken, fried egg, lettuce, tomato, cheese and mayonnaise, served with fries"
Plate, Burger/Sandwich/Wrap, Vegetable Cheese Burger, 370,"Veg patty with cheese lettuce, tomato and mayo in a burger bun, served with fries"
Plate, Burger/Sandwich/Wrap, Chicken burger, 400,"Chicken patty with cheese lettuce tomato cucumber and mayonnaise, served with homemade hand cut chips"
Plate, Burger/Sandwich/Wrap, Crispy Chicken burger, 400,"Chicken patty with cheese lettuce tomato cucumber and mayonnaise, served with homemade hand cut chips"

Bottle, Imported Whisky, Black Label (60ml), 1200, ""
Bottle, Imported Whisky, Black Label (180ml), 3450, ""
Bottle, Imported Whisky, Black Label (500ml), 6450, ""
Bottle, Imported Whisky, Black Label (1000ml), 12500, ""
Bottle, Imported Whisky, Double Black (60ml), 1300, ""
Bottle, Imported Whisky, Double Black (180ml), 3750, ""
Bottle, Imported Whisky, Double Black (500ml), 7100, ""
Bottle, Imported Whisky, Double Black (1000ml), 13200, ""
Bottle, Imported Whisky, Jack Daniels (60ml), 950, ""
Bottle, Imported Whisky, Jack Daniels (180ml), 2800, ""
Bottle, Imported Whisky, Jack Daniels (500ml), 5280, ""
Bottle, Imported Whisky, Jack Daniels (1000ml), 9900, ""
Bottle, Imported Whisky, Red Label (60ml), 1000, ""
Bottle, Imported Whisky, Red Label (180ml), 3000, ""
Bottle, Imported Whisky, Red Label (500ml), 6000, ""
Bottle, Imported Whisky, Red Label (1000ml), 12000, ""
Bottle, Domestic Whisky, OD B. Chimney (60ml), 650, ""
Bottle, Domestic Whisky, OD B. Chimney (180ml), 1450, ""
Bottle, Domestic Whisky, OD B. Chimney (350ml), 2750, ""
Bottle, Domestic Whisky, OD B. Chimney (750ml), 5150, ""
Bottle, Domestic Whisky, OD Regular (60ml), 450, ""
Bottle, Domestic Whisky, OD Regular (180ml), 1150, ""
Bottle, Domestic Whisky, OD Regular (350ml), 2150, ""
Bottle, Domestic Whisky, OD Regular (750ml), 3950, ""
Bottle, Domestic Whisky, Kalapattar (60ml), 400, ""
Bottle, Domestic Whisky, Kalapattar (180ml), 1050, ""
Bottle, Domestic Whisky, Kalapattar (350ml), 2000, ""
Bottle, Domestic Whisky, Kalapattar (750ml), 3850, ""
Bottle, Domestic Whisky, Gorkha Guns (60ml), 500, ""
Bottle, Domestic Whisky, Gorkha Guns (180ml), 1250, ""
Bottle, Domestic Whisky, Gorkha Guns (350ml), 2350, ""
Bottle, Domestic Whisky, Gorkha Guns (750ml), 4150, ""
Bottle, Domestic Whisky, Signature (60ml), 375, ""
Bottle, Domestic Whisky, Signature (180ml), 1050, ""
Bottle, Domestic Whisky, Signature (350ml), 1920, ""
Bottle, Domestic Whisky, Signature (750ml), 3600, ""
Bottle, Domestic Whisky, 8848 (60ml), 350, ""
Bottle, Domestic Whisky, 8848 (180ml), 950, ""
Bottle, Domestic Whisky, 8848 (350ml), 1700, ""
Bottle, Domestic Whisky, 8848 (750ml), 3200, ""
Bottle, Domestic Whisky, Ruslan (60ml), 375, ""
Bottle, Domestic Whisky, Ruslan (180ml), 1050, ""
Bottle, Domestic Whisky, Ruslan (350ml), 2050, ""
Bottle, Domestic Whisky, Ruslan (750ml), 3600, ""
Bottle, Domestic Whisky, Khukuri Rum (60ml), 350, ""
Bottle, Domestic Whisky, Khukuri Rum (180ml), 950, ""
Bottle, Domestic Whisky, Khukuri Rum (350ml), 1700, ""
Bottle, Domestic Whisky, Khukuri Rum (750ml), 3200, ""
Bottle, Beer, Tuborg, 600, ""
Bottle, Beer, Carlsberg, 600, ""
Bottle, Beer, Gorkha, 500, ""
Bottle, Beer, Barasinghe Pilsner, 550, ""
Bottle, Beer, Barasinghe Hazy IPA, 575, ""
Bottle, Beer, Somersby Apple Cider, 300, ""
Bottle, Hookah, Hukka, 550, ""
Bottle, Hookah, Extra Coil, 50, ""
Bottle, Hookah, Surya Light, 35, ""
Bottle, Hookah, Surya red, 35, ""
Bottle, Hookah, Shikhar Ice, 35, ""

